date,mpr,inflation,exchange_rate,money_supply_m2
2024-03,24.75,33.2,835.0,55735.6
2024-04,24.75,33.7,845.0,56471.1
2024-05,26.25,33.9,855.0,57218.8
2024-06,26.25,34.2,865.0,57978.8
2024-07,26.75,33.4,875.0,58751.4
2024-08,26.75,32.7,885.0,59536.9
2024-09,27.25,32.7,895.0,60335.5
2024-10,27.50,32.8,905.0,61147.4
2024-11,27.50,34.6,915.0,61972.9
2024-12,27.50,34.8,925.0,62812.2
2025-01,27.50,23.8,935.0,63665.6
